HEIGHT,DIAMETER,ELEVATION,CANOPYHEIGHT
7.9,11.5,1167,8.9
6.4,8.6,1167,8.9
5.8,9.6,1167,9
5.3,6.1,1167,9
1.6,1.4,1167,9
1.7,2.5,1167,9
1.5,1.1,1167,9
1.6,4,1167,8.9
2.7,2.5,1167,9
1.7,1,1167,9
2.5,3.9,1167,9
3.9,4.6,1167,9
3,4.7,1167,9
1.7,1.5,1167,8.9
2.6,2.9,1167,8.9
3.3,3.8,1167,7.5
1.5,0.7,1167,7.5
3,3.7,1167,9
2.8,2.9,1167,9
2.9,3.9,1167,7.5
1.4,1,1167,7.5
1.5,1.6,1167,7.5
3.1,3.6,1167,8.9
3.3,4.9,1167,9
2.4,2.8,1167,9
1.5,1.1,1167,9
3.7,4,1167,9
1.8,1.3,1167,9
2.8,2.9,1167,8.5
5.3,5.1,1167,8.5
1.7,1.3,1167,8.9
5,6.3,1167,8.5
2.7,2,1167,8.5
2.4,3.4,1167,9
2.3,3.6,1167,8.9
8.8,13.2,1167,9
8.4,10.8,1167,8.9
6.3,9.9,1167,8.9
1.5,0.9,1167,8.5
3.4,4.3,1167,8.5
2.6,3.1,1167,8.9
2.2,2.4,1167,9
1.8,2.1,1167,8.9
2.8,4.8,1167,8.9
3.7,5.1,1167,8.9
3.3,3.9,1167,8.9
2.9,4.3,1167,8.9
9,12.2,1167,9.5
5,6.4,1167,8.9
7,11.2,1167,8.9
8.9,15,1167,9.5
7,10.5,1167,9.5
4.9,6.6,1167,9.5
5.5,9.3,1167,9.5
5.8,6.6,1167,9.5
7.6,12,1167,9.5
5.9,15.5,1167,10
7.5,8.7,1167,7.6
4.9,6.7,1167,7.6
3.7,6.6,1167,9.5
4.9,15,1167,9.5
9,15.7,1167,9.5
6.4,20.2,1167,10
4.6,6.9,1167,9.5
9.5,15.7,1167,9.5
7,12.5,1167,9.5
5.4,9.7,1167,9.5
4,5.3,1167,9.5
3.8,5.2,1167,9.5
6.7,7.7,1167,7.7
6.6,9.7,1167,8.5
6.4,9.5,1167,7.7
5.4,9,1167,7.7
4.5,6.4,1167,8.2
4.8,6.9,1167,8.2
7.1,12.2,1167,7.9
6.6,9.1,1167,8.2
3.7,5.1,1167,7.7
5.3,8.8,1167,8.2
7.6,12.5,1167,7.7
5,9.4,1167,7.9
8.1,14,1167,8.5
7,17.3,1167,8.2
6.2,7,1167,7.9
7.7,9.7,1167,8.2
7.9,13.8,1167,8.2
8.1,13.9,1167,8.2
4.9,7.8,1167,8.5
6.6,9.7,1167,7.3
5.7,7.6,1167,8.2
6.4,8.7,1167,7.7
7,8.9,1167,7.9
8.2,12,1167,8.2
4.3,7.2,1167,8.2
5.8,6.5,1167,8.2
4.3,5.5,1167,7.3
6,9.2,1167,7.7
3.2,5.2,1167,7.3
4.8,5.3,1167,7.9
3.9,5.7,1167,8.2
6.7,8.7,1177,9.2
6.3,9.1,1177,9.2
8.5,10.7,1177,9.2
4.3,7.4,1177,10.3
4.7,7,1177,10.3
5.7,10.1,1177,10.3
5,8.5,1177,9.2
7.9,10,1177,9.2
5.1,6.9,1177,8
5.6,6.3,1177,10.3
3,5,1177,10.3
3.1,5.5,1177,10.3
3.6,6.7,1177,9.2
4.1,5.6,1177,7.9
4.4,9.5,1177,7.9
3.4,6,1177,9
6.1,7,1177,8.1
1.4,0.3,1177,9.1
2.4,3.2,1177,9.2
1.9,1.8,1177,9.1
3,5.3,1177,9.1
2.2,2.6,1177,9.1
2,1.3,1177,9
2.5,2.4,1177,9
2.5,3,1177,9
2.6,3.7,1177,9
3.9,4.5,1177,8.4
4.9,13.5,1177,8.1
4.7,7.2,1177,9.9
6.8,8.2,1177,8.4
9.2,19.7,1177,9.3
7.3,10.4,1177,9.9
9.1,13.7,1177,9.2
5,6.1,1177,9.9
8.1,10.5,1177,9.9
5.5,11.3,1177,9
5.2,5.5,1177,9.9
5.5,6.5,1177,9.2
6.2,10.8,1177,9.2
6.7,9.4,1177,9.9
6.7,6.8,1177,9.2
6.2,7,1177,9.9
9.2,16.9,1177,9.2
5.1,6.9,1177,9.2
4.3,5.8,1177,9.2
7.1,10,1177,8.4
6.2,11,1177,9.2
6.7,9.7,1177,9.2
4.7,4.6,1177,9.9
3,4,1177,9.9
4.6,5.2,1177,9.9
1.9,2.3,1177,8.1
4,5.3,1177,9.9
7.5,11.5,1177,8.1
3.7,4.3,1177,9.1
2.3,3.1,1177,9.2
1.4,1.1,1177,9.2
3.4,4.6,1177,9.2
3.7,4.1,1177,9
1.8,1.7,1177,9
2.4,2.5,1177,9
3.3,5.1,1177,9.1
2,3.3,1177,8.4
2,1.6,1177,9
1.5,1,1177,9.1
5.9,10.8,1177,9.1
4.8,5.1,1177,9.9
1.4,0.2,1177,9
3.2,4.9,1177,9.2
2.3,3.4,1177,9.3
8.7,9.8,1177,8.7
7.1,13,1177,8.7
6.7,10.5,1177,9.2
6.7,8.3,1177,9.5
4.2,6.5,1177,8.9
7.5,10.9,1177,8.7
8.4,10.4,1177,8.9
6.3,14.8,1177,8.9
7.6,13.5,1177,8.7
4.1,6.7,1177,7.9
7.6,9.2,1177,9.5
6.9,9.9,1177,9.5
7.1,10.3,1177,8.9
8.5,10.3,1177,9.1
